expedition_id,mean_age,member_count
AMAD06110,40.6,5
AMAD06111,45.5,4
AMAD06112,33,3
AMAD06113,32.5,2
AMAD06301,48.5,2
AMAD06302,36,2
AMAD06303,29,2
AMAD06304,48.2,5
AMAD06305,41.6,15
AMAD06306,40.5,8
AMAD06307,33.333,3
AMAD06308,31.667,3
AMAD06309,35.5,2
AMAD06310,37.833,6
AMAD06311,46.25,8
AMAD06312,46.5,2
AMAD06313,39.692,13
AMAD06314,49.8,5
AMAD06315,41.5,2
AMAD06316,42,3
AMAD06317,35,2
AMAD06318,37.5,4
AMAD06319,33.667,3
AMAD06320,35.5,2
AMAD06321,42.833,6
AMAD06322,35.833,6
AMAD06323,37.75,4
AMAD06324,32.429,7
AMAD06325,39.5,6
AMAD06326,45.667,3
AMAD06327,33.25,4
AMAD06328,37.667,3
AMAD06329,34.5,6
AMAD06330,39.111,9
AMAD06331,41,6
AMAD06332,39,11
AMAD06333,35,3
AMAD06334,33.273,11
AMAD06335,37.5,4
AMAD06336,39.5,2
AMAD06337,45,3
AMAD06338,34.5,10
AMAD06339,40.75,12
AMAD06340,30.4,5
AMAD06341,41.333,3
AMAD06342,39.5,2
AMAD06343,26.5,2
AMAD06344,44,1
AMAD06345,32,1
AMAD06346,36.75,12
AMAD06347,37.88,25
AMAD06348,40.15,20
AMAD06349,34.667,3
AMAD06350,42.5,2
AMAD06351,37,5
AMAD06352,40.75,4
AMAD06353,33.571,7
AMAD06354,38.091,11
AMAD06355,28,5
AMAD06356,37.5,2
AMAD06357,33,2
AMAD06358,38.75,12
AMAD06359,31,2
AMAD06401,31.812,16
AMAD06402,32.571,14
AMAD06403,43.167,6
AMAD07101,31.5,8
AMAD07102,28,2
AMAD07103,43.667,3
AMAD07104,28.5,2
AMAD07105,42.625,8
AMAD07106,24.5,2
AMAD07107,24.5,2
AMAD07108,52.75,4
AMAD07109,44.5,2
AMAD07110,27,2
AMAD07111,43.571,7
AMAD07112,53.5,2
AMAD07113,27.25,4
AMAD07114,34.667,3
AMAD07115,34.25,4
AMAD07301,45,1
AMAD07302,21.5,2
AMAD07303,38.214,14
AMAD07304,41.857,14
AMAD07305,27.714,7
AMAD07306,39.25,4
AMAD07307,44.083,12
AMAD07308,42.375,8
AMAD07309,40.462,13
AMAD07310,41.941,17
AMAD07311,37.6,10
AMAD07312,45.667,3
AMAD07313,42.5,8
AMAD07314,38.429,42
AMAD07315,46.75,8
AMAD07316,40.875,8
AMAD07317,45.5,2
AMAD07318,39.167,6
AMAD07319,28,2
AMAD07320,45.333,3
AMAD07321,42.571,7
AMAD07322,36,2
AMAD07323,39.167,6
AMAD07324,42.733,15
AMAD07325,39.593,27
AMAD07326,33,5
AMAD07327,36,2
AMAD07328,36,1
AMAD07329,34.8,5
AMAD07330,42,5
AMAD07331,28.429,7
AMAD07332,34.5,12
AMAD07333,51,4
AMAD07334,41.8,5
AMAD07335,48,5
AMAD07336,28,2
AMAD07337,41.857,7
AMAD07338,32,2
AMAD07339,47,1
AMAD07340,46,10
AMAD07341,30.5,6
AMAD07342,40,2
AMAD08101,44.5,4
AMAD08102,39.571,7
AMAD08103,43.75,8
AMAD08104,51,2
AMAD08105,31,2
AMAD08301,32.143,7
AMAD08302,37.6,5
AMAD08303,34,4
AMAD08304,39.923,13
AMAD08305,30,3
AMAD08306,35,1
AMAD08307,36.5,2
AMAD08308,35.5,4
AMAD08309,43.444,9
AMAD08310,32.75,4
AMAD08311,51.778,9
AMAD08312,40.778,9
AMAD08313,40.714,7
